distance,name,class,address,reviews,rates,isOpen
"3.6 ק""מ",K9 Style,מספרה לחיות,"דיזנגוף 239, תל אביב יפו",""" גם אני נהנתי ויצאתי עם חיוך ענק""",715 ביקורות213 ביקרו פה החודש,"
סגור
      "
"2.3 ק""מ",כלבטוש מספרת כלבים,מספרה לחיות,"רוחמה 16, תל אביב יפו","""אדם מקסים עם גישה לכלבים""",646 ביקורות102 ביקרו פה החודש,
"3.1 ק""מ",מרפאה וטרינרית בשדרה,וטרינרים,"בן יהודה 144, תל אביב יפו",""" פשוט איש טוב ורופא מדהים""",116 ביקורות74 ביקרו פה החודש,"
סגור
      "
"1.5 ק""מ",PetPro פטפרו,חנות ציוד ומזון לבעלי חיים,"המפעל 3, תל אביב יפו","""רוברט היקר, קיבלתי ממך יחס מדהים, השירות היה אדיב ועם חיוך""",154 ביקורות117 ביקרו פה החודש,"
סגור
      "
"1.6 ק""מ",מרפאת גבעתיים לחיות בית,וטרינרים,"משה שטיינשניידר 12, תל אביב יפו","""מקצועי ברמות ,אוהב כלבים, יחס מדהים ,הציל לי את הכלבה """,223 ביקורות159 ביקרו פה החודש,"
סגור
      "
"3.3 ק""מ","ד""ר ברקאי אלי",וטרינרים,"שיינקין 54, גבעתיים",""" מקצוען, חכם ומקסים, אוהב חיות, משקיען, זמין לעדכונים וליעוץ גם בטלפון לאחר הטיפול""",203 ביקורות177 ביקרו פה החודש,"
סגור
      "
"3.5 ק""מ",גלעד ודניאל מרפאה וטרינרית,וטרינרים,"ז'בוטינסקי 1, תל אביב יפו",,206 ביקורות78 ביקרו פה החודש,
"1.4 ק""מ",וטרינר במרכז,וטרינרים • שירות בבית הלקוח,"אבן גבירול 15, תל אביב יפו","""אוהד קיבל אותנו עם הרבה סבלנות והבנה ונתן טיפול מקצועי ביותר""",260 ביקורות82 ביקרו פה החודש,
"2.8 ק""מ","ד""ר אבי פצ'ו",וטרינרים,"דב פרידמן 10, רמת גן","""וטרינר מיוחד במינו, ממש ממש מומלץ""",469 ביקורות162 ביקרו פה החודש,
"1.9 ק""מ",דוגי שיק סלון טיפוח ומספרה לכלבים,מספרה לחיות,"מעון 28, תל אביב יפו",""" לאחרונה קניתי בדוגי שיק גם בגדים מדהימים לצ'ופי הכלב - פשוט מקסימים""",125 ביקורות145 ביקרו פה החודש,"
סגור
      "
"4.4 ק""מ",המרכז הוטרינרי,"רשת ציוד ומזון לבע""ח","תרצה 15, רמת גן",,287 ביקורות247 ביקרו פה החודש,
"2.6 ק""מ","ד""ר שנקלר שלמה",וטרינרים,"אלוף דוד 170, רמת גן",,130 ביקורות,"
בתיאום מראש
      "
"4.3 ק""מ",בלינסון לחיות מרפאה וטרינרית,וטרינרים,"סוקולוב 20, חולון","""אנשים נחמדים, מקצועיים ובעלי ניסיון רב,ממליץ בחום""",187 ביקורות183 ביקרו פה החודש,"
סגור
      "
611 מ',היפר דוג,"רשת ציוד ומזון לבע""ח","יצחק שדה 32, תל אביב יפו",,144 ביקורות115 ביקרו פה החודש,
"3.4 ק""מ","ד""ר אסף חן מרפאה וטרינרית",וטרינרים,"ארלוזורוב 36, רמת גן","""וטרינר מעולה ובנאדם ישר אדיב ומקצועי""",158 ביקורות153 ביקרו פה החודש,
"2.2 ק""מ",חיש חי,חנות ציוד ומזון לבעלי חיים,"עליית הנוער 33, גבעתיים",""" צוות אדיב חייכן ומסביר פנים על כל השאלות שהיו לי""",357 ביקורות81 ביקרו פה החודש,"
סגור
      "
"3.5 ק""מ","ד""ר טלי אברהם",וטרינרים,"דיזנגוף 252, תל אביב יפו",""" דר טלי וכל הצוות נותנים שירות מקצועי ויחס לבבי שאין כמותו""",186 ביקורות169 ביקרו פה החודש,
"4.3 ק""מ","ד""ר צחי טיבולי",וטרינרים,"חיים לנדאו 7, רמת גן (עופר מרום)","""בשביל טוי הנסיך שלי חיפשתי את הטוב ביותר - ולא התפשרתי""",254 ביקורות199 ביקרו פה החודש,"
סגור
      "
"1.5 ק""מ",ספידוג,"רשת ציוד ומזון לבע""ח","הרב יצחק ידידיה פרנקל 26, תל אביב יפו",,147 ביקורות96 ביקרו פה החודש,
"1.5 ק""מ",פנסיון בשכונה,פנסיון לכלבים • סטודיו ביתי,"ביצרון, תל אביב יפו",,9 ביקורות377 ביקרו פה החודש,
"3.3 ק""מ","ד""ר פרי מרדכי",וטרינרים,"דניאל 19, רמת גן",,192 ביקורות79 ביקרו פה החודש,
"3.1 ק""מ",Vets4Pets,וטרינרים • ₪₪₪,"יהודה הימית 32, תל אביב יפו","""יחס אדיב סובלני ופשוט מרפאה קטנה ונהדרת,תודה רבה על הכל """,131 ביקורות52 ביקרו פה החודש,"
סגור
      "
"1.6 ק""מ",בראונפילד BrownField,חנות ציוד ומזון לבעלי חיים • ₪₪₪,"פלורנטין 12, תל אביב יפו","""קיבלתי שירות מקצועי מאוד הסבר מפורט על כל מוצר והתועלות שלו""",327 ביקורות294 ביקרו פה החודש,
"1.3 ק""מ",פטשופסל,חנות ציוד ומזון לבעלי חיים,"אבן גבירול 5, תל אביב יפו","""בעל החנות אריק יקבל אתכם באהבה עם המון סבלנות""",88 ביקורות568 ביקרו פה החודש,
"1.1 ק""מ",מרפאה וטרינרית,וטרינרים,"עמינדב 19, תל אביב יפו",""" בתל אביב יחס אישי 🐆🦮️""",122 ביקורות67 ביקרו פה החודש,
