distance,name,class,address,rates,isOpen,reviews
"2.2 ק""מ",The Drisco Hotel,בית מלון • לא כשר,"אוארבך 6, תל אביב יפו",1000+ ביקורות217 ביקרו פה החודש,"
פתוח
      ",
"2.7 ק""מ",מלון מרקט האוס,בית מלון • כשר • ₪₪₪,"בית אשל 5, תל אביב יפו",1000+ ביקורות296 ביקרו פה החודש,"
פתוח
      ","""לקחנו את חווית הספא שגם היה טובה"""
"3.5 ק""מ",מלון שלום & רילקס,בית מלון,תל אביב יפו,1000+ ביקורות55 ביקרו פה החודש,"
פתוח
      ",
"1.3 ק""מ",The Vera,בית מלון,"לילינבלום 27, תל אביב יפו",1000+ ביקורות63 ביקרו פה החודש,"
פתוח
      ",
"1 ק""מ",מלון 65,בית מלון,"שדרות רוטשילד 65, תל אביב יפו",1000+ ביקורות104 ביקרו פה החודש,"
פתוח
      ",""" מומלץ מאוד לזוגות הרוצים להנות מתל אביב"""
"1.3 ק""מ",הוטל מונטיפיורי,בית מלון • ישיבה בחוץ • לא כשר • ₪₪₪,"מונטיפיורי 36, תל אביב יפו",1000+ ביקורות545 ביקרו פה החודש,"
פתוח
      ","""אוכל מעולה ממש, כל מנה מוצלחת יותר מהשנייה"""
"1.9 ק""מ",הוטל סול,בית מלון,"טשרניחובסקי 17, תל אביב יפו",1000+ ביקורות55 ביקרו פה החודש,"
פתוח
      ","""מלון נעים וטוב חדרים טובים שירות מיקום נהדרמומלץ מאוד"""
"1.2 ק""מ",מלון נורמן,בית מלון,"נחמני 23, תל אביב יפו",1000+ ביקורות141 ביקרו פה החודש,"
פתוח
      ","""אכלתי עיסקית והיה מפנק וטעים"""
"4.2 ק""מ",מלון ים,בית מלון,"כ""ג יורדי הסירה 16, תל אביב יפו",1000+ ביקורות,"
פתוח
      ",
"1.1 ק""מ",מלון רוטשילד,בית מלון • ישיבה בחוץ • ₪₪₪,"שדרות רוטשילד 96, תל אביב יפו",1000+ ביקורות247 ביקרו פה החודש,"
פתוח
      ",
"2.2 ק""מ",מלון קוקו,בית מלון,"דיזנגוף 83, תל אביב יפו",1000+ ביקורות362 ביקרו פה החודש,"
פתוח
      ","""בית קפה תל אביבי ממש סמוך לכיכר דיזנגוף , האוכל מעולה וטעים שירות מצוין """
"1.5 ק""מ",מלון פבריק,מלון בוטיק,"נחלת בנימין 28, תל אביב יפו",1000+ ביקורות75 ביקרו פה החודש,"
פתוח
      ","""מלון נפלא עם אווירה ניו יורקית ובמחירים הוגנים"""
"3.1 ק""מ",מלון מרגוזה בוטיק,מלון בוטיק,"אברהם אבן שושן 1, תל אביב יפו",1000+ ביקורות74 ביקרו פה החודש,"
פתוח
      ",
"2.5 ק""מ",רנומה,בית מלון,"הירקון 59, תל אביב יפו",522 ביקורות,,"""המקום מושלם ברמה הכי גבוהה שיש הדירה שווה כל שקל נוף מטריף לים """
"1.6 ק""מ",White Villa Tel Aviv,בית מלון,"שדרות בן ציון 25, תל אביב יפו",821 ביקורות,"
פתוח
      ",
"2.2 ק""מ",מלון סינמה,בית מלון • כשר,"זמנהוף 1, תל אביב יפו",1000+ ביקורות118 ביקרו פה החודש,,
"3.2 ק""מ",קאסה נובה סוויטות,בית מלון,"נתיב המזלות 6, תל אביב יפו",289 ביקורות,"
פתוח
      ","""מקום נקי וייחודי ביותר ביופיו"""
"3.3 ק""מ",מלון קרלטון,בית מלון • ישיבה בחוץ • כשר • ₪₪₪,"אליעזר פרי 10, תל אביב יפו",1000+ ביקורות134 ביקרו פה החודש,"
פתוח
      ",
"3.5 ק""מ",מלון מלודי,בית מלון • כשר,"ז'בוטינסקי 4, תל אביב יפו",1000+ ביקורות64 ביקרו פה החודש,"
פתוח
      ",
504 מ',NYX תל אביב,בית מלון • לא כשר,"דרך מנחם בגין 46, תל אביב יפו",1000+ ביקורות570 ביקרו פה החודש,"
פתוח
      ","""שירות מדהים , המלון בעיצוב מיוחד , והמיקום מעולה קרוב לרוטשילד, ו10 דקות הליכה מtlv"""
"1.2 ק""מ",מלון לילי & בלום,בית מלון • ישיבה בחוץ,"לילינבלום 48, תל אביב יפו",1000+ ביקורות65 ביקרו פה החודש,"
פתוח
      ",
"2.7 ק""מ",סטאי,בית מלון • כשר,"דוד רזיאל 22, תל אביב יפו",1000+ ביקורות142 ביקרו פה החודש,"
פתוח
      ","""השירות היה מהיר ואדיב"""
"3 ק""מ",מלון סוויטות ארבל,בית מלון,"חולדה 11, תל אביב יפו",1000+ ביקורות,"
פתוח
      ",
"1.7 ק""מ",קראון פלזה סיטי סנטר,בית מלון • כשר • כשר לפסח,"דרך מנחם בגין 136, תל אביב יפו",1000+ ביקורות159 ביקרו פה החודש,"
פתוח
      ",
"2.3 ק""מ",Reines5 Tlv,בית מלון,"ריינס 5, תל אביב יפו",465 ביקורות,"
פתוח
      ",
