distance,name,class,address,isOpen,rates,reviews
"9.6 ק""מ",Tempus Games,מתחם חדרי בריחה,"משה בקר 18, ראשון לציון",,,
"2.2 ק""מ",Sunset Games,,"יחזקאל קאופמן 4, תל אביב יפו (בית שרבט)",,,
"6.9 ק""מ",Gingee Games,,"הברזל 2, תל אביב יפו",,,
"7.1 ק""מ",Corbomite Games,,"רקנאטי 2, תל אביב יפו",,,
"73 ק""מ",Hair games,עיצוב שיער,"שדרות ירושלים 80, נתיבות","
בתיאום מראש
      ",,
"91 ק""מ",Quest Games,מתחם חדרי בריחה,"ההסתדרות 19, באר שבע",,452 ביקורות,
"1.6 ק""מ",Jelly Button Games,,"שוקן 27, תל אביב יפו",,,
"7.8 ק""מ",Side kick Games,,"הארד 7, תל אביב יפו (בנין הרוויקס)",,6 ביקורות,
"2.3 ק""מ",Virus Games וירוס גיימס,מתחם מציאות מדומה,"אלנבי 14, תל אביב יפו",,587 ביקורות657 ביקרו פה החודש,"""מקום מדהים ומהנה חוויה מטורפת"""
"4.7 ק""מ",משחקים חכמים Smart Games,מתנות ליולדת • אונליין בלבד,רמת גן,,6 ביקורות57 ביקרו פה החודש,
"53 ק""מ",B.Z Games,מתחם חדרי בריחה,"יד חרוצים 16, ירושלים",,,
"81 ק""מ",Sistors Escape Games,מתחם חדרי בריחה,"ערבה 2, רמת ישי",,57 ביקורות,
"280 ק""מ",Escape Reality Games,מתחם חדרי בריחה,"דרך פעמי השלום 23, אילת",,,
"280 ק""מ",Omni VR GAMES,מתחם מציאות מדומה,"דרך פעמי השלום 18, אילת",,19 ביקורות137 ביקרו פה החודש,"""ממש כיף חוויה שמתאימה לכל גיל """
"50 ק""מ",משחקייה SIG GAMES,ג'ימבורי,"קניון הפסגה, ירושלים",,1 ביקורות,
"1.1 ק""מ",Virus Games Arcade & Laser Tag Vr,,"יונה קרמנצקי 2, תל אביב יפו","
סגור
      ",183 ביקורות,
"24 ק""מ",gamelish card games the fun way to learn English,לימודי שפות,"השיזף 32, חרות","
סגור
      ",22 ביקורות,
"5.9 ק""מ",משחקי חשיבה yaharoni,חנות מתנות ומזכרות,"ליבורנו, בת ים","
סגור
      ",,
"8.4 ק""מ",סטריט גיימס,משחקיית וידאו,"G One, ראשון לציון",,3 ביקורות447 ביקרו פה החודש,""" בילוי מעולה לכל המשפחה"""
"9.8 ק""מ",משחקי ריגול,אטרקציה,"סינמה סיטי גלילות, רמת השרון","
סגור
      ",3 ביקורות64 ביקרו פה החודש,
"9.8 ק""מ",סטריט גיימס,משחקיית וידאו,"יעקב פריימן 20, ראשון לציון",,64 ביקרו פה החודש,
"12 ק""מ",סטריט גיימס,משחקיית וידאו,"קניון שבעת הכוכבים, הרצליה","
סגור
      ",1 ביקורות138 ביקרו פה החודש,
"4.1 ק""מ",גמביט משחקי חשיבה,חנות צעצועים • אונליין בלבד,רמת גן,"
בתיאום מראש
      ",39 ביקורות,
"18 ק""מ",סטריט גיימס,משחקיית וידאו,"עתיר ידע 4, כפר סבא",,73 ביקורות155 ביקרו פה החודש,
"1.9 ק""מ",פריק,חנות צעצועים,"דיזנגוף סנטר, תל אביב יפו","
סגור
      ",1000+ ביקורות188 ביקרו פה החודש,"""מומלץ לכל חובבי הפנטזיה ומשחקי הקופסא, """
