distance,name,class,address,rates,isOpen
948 מ',טיסות לברצלונה,תיירות ונופש,"לוינסקי, תל אביב יפו",,
"1.1 ק""מ","טיסות לארה""ב",תיירות ונופש,"מטלון, תל אביב יפו",,
"1.6 ק""מ",טיסות לאירופה,תיירות ונופש,"אלנבי, תל אביב יפו",,
"5.9 ק""מ",טיסות וורטקס,,"עמל 10, חולון",,
"14 ק""מ",טיסות חוויה,טיסות בשמי הארץ,"שדה תעופה הרצליה, הרצליה",2 ביקורות,"
בתיאום מראש
      "
"51 ק""מ",טיסות לאיטליה,תיירות ונופש,"יפו, ירושלים",,
"83 ק""מ",טיסות לאפריקה,תיירות ונופש,"סמולנסקין, חיפה",,
"83 ק""מ",טיסות לרומא,תיירות ונופש,"אורן, חיפה",,
"83 ק""מ",טיסות לקנדה,תיירות ונופש,"הצלפים, חיפה",,
"83 ק""מ",טיסות לרוסיה,תיירות ונופש,"הצלפים, חיפה",,
"84 ק""מ",טיסות לרומניה,תיירות ונופש,"שער הגיא, חיפה",,
"84 ק""מ",טיסות לפראג,תיירות ונופש,"ביכורים, חיפה",,
"84 ק""מ",טיסות לצרפת,תיירות ונופש,"קדימה, חיפה",,
"84 ק""מ",טיסות לגרמניה,תיירות ונופש,"קדימה, חיפה",,
"85 ק""מ",טיסות לתאילנד,תיירות ונופש,"שדרות ודג'ווד, חיפה",,
"85 ק""מ",טיסות ליוון,תיירות ונופש,"מחניים, חיפה",,
"85 ק""מ",טיסות להודו,תיירות ונופש,"ליאון בלום, חיפה",,
"86 ק""מ",טיסות זולות,תיירות ונופש,"לבונטין, חיפה",,
"86 ק""מ",טיסות לכרתים,תיירות ונופש,"שדרות הציונות, חיפה",,
"87 ק""מ","טיסות לחו""ל",תיירות ונופש,"דרך אלנבי, חיפה",,
"86 ק""מ",טיסות לבודפשט,תיירות ונופש,"שבתאי לוי, חיפה",,
"87 ק""מ",טיסות לברזיל,תיירות ונופש,"דרך יפו 7, חיפה",,
"86 ק""מ",טיסות לקפריסין,תיירות ונופש,"בית לחם, חיפה",,
"87 ק""מ",טיסות לאמסטרדם,תיירות ונופש,"דרך העצמאות, חיפה",,
"109 ק""מ",טיסות לאוסטרליה,תיירות ונופש,"שדרות הגעתון, נהריה",,
