distance,name,class,address,rates,isOpen,reviews
760 מ',מחסני הטבעונות,סופרמרקטים ומכולות • אונליין בלבד • ₪₪₪,"צקלג 3, תל אביב יפו",506 ביקורות113 ביקרו פה החודש,"
סגור
      ",
"1.2 ק""מ",אושר עד,רשת מזון • כשר,"וולטר מוזס 3, תל אביב יפו",35 ביקורות1378 ביקרו פה החודש,,"""נהדרת קל מהיר זמין"""
"4.2 ק""מ",אלמוג והראל,סופרמרקטים ומכולות,"הרצל 77, רמת גן",552 ביקורות151 ביקרו פה החודש,"
סגור
      ","""מקום מעולה ,אנשים צמד טובים והוגמחם,ממש מומלץ"""
959 מ',סופר זול אלון,סופרמרקטים ומכולות,"דרך שלמה 139, תל אביב יפו",219 ביקורות90 ביקרו פה החודש,"
סגור
      ","""אדיבים מאוד שרות מעל ומעבר """
"5.1 ק""מ",בני את יוני,סופרמרקטים ומכולות,"דרך בן גוריון 13, בני ברק",490 ביקורות130 ביקרו פה החודש,"
סגור
      ","""צוות אדיב כל מוצר נגיש, מקום נקי ומטופח"""
"2.4 ק""מ","סופר רמב""ם",סופרמרקטים ומכולות,"הצנחנים 11, גבעתיים",94 ביקורות75 ביקרו פה החודש,"
סגור
      ","""ואנשים מקסימים ישרים ובעלי תודעה חברתית גבוהה"""
"3.2 ק""מ",סופרמרקט שירוקו,סופרמרקטים ומכולות,"הירקון 169, תל אביב יפו",97 ביקורות93 ביקרו פה החודש,"
סגור
      ",
"3.5 ק""מ",מלכה מרקט,סופרמרקטים ומכולות,"מלכי צדק 23, רמת גן",100 ביקורות113 ביקרו פה החודש,"
סגור
      ","""סופר בנוני מחירים טובים דווקא קנייה מהירה שרות אחלה תודה"""
"3.6 ק""מ",מיניכל אמיר,סופרמרקטים ומכולות,"ברוריה 5, רמת גן",46 ביקורות69 ביקרו פה החודש,"
סגור
      ",
"1.2 ק""מ",סופר העיר,רשת מכולות,"קרליבך 14, תל אביב יפו",1000+ ביקורות210 ביקרו פה החודש,,
893 מ',סופר קופיה,סופרמרקטים ומכולות,"יהודה הלוי 56, תל אביב יפו",18 ביקורות144 ביקרו פה החודש,,
"1.8 ק""מ",מזרח ומערב,רשת מכולות,"הכרמל 17, תל אביב יפו",331 ביקורות81 ביקרו פה החודש,"
סגור
      ",""" המצרכים, המשלוח וההתייחסות מצוינים"""
"4.3 ק""מ",נון סטופ מרקט,רשת מכולות,"הרצל 32, אזור",166 ביקורות84 ביקרו פה החודש,,"""חווית קניה מטורפת עם שירות מעולה"""
"2.2 ק""מ",סופר אל הים,סופרמרקטים ומכולות • ₪₪₪,"הירקון 29, תל אביב יפו",263 ביקורות221 ביקרו פה החודש,,
"3 ק""מ",יאלי בשכונה,סופרמרקטים ומכולות,"שפירא 3, רמת גן",77 ביקורות126 ביקרו פה החודש,,""" והכי כיף זה לקנות את העוגת שמרים הרכה והאורירית ביום שישי😃 מומלץ בחום"""
"4.4 ק""מ",מינימרקט אהרון,סופרמרקטים ומכולות,"נווה יהושע 23, רמת גן",80 ביקורות76 ביקרו פה החודש,"
סגור
      ","""שרות לקוחות מעולה אדיבים ניקיון"""
"2.5 ק""מ",עדן טבע מרקט,סופרמרקטים ומכולות,"גן העיר, תל אביב יפו",46 ביקורות264 ביקרו פה החודש,"
סגור
      ","""חנות מדהימה עם מבחר גדול, אווירה נעימה ושירות מעולה 😍"""
"3.2 ק""מ",פיין מרקט,סופרמרקטים ומכולות • ₪₪₪,"אלוף דוד 40, רמת גן",136 ביקורות118 ביקרו פה החודש,"
סגור
      ","""אחלה סופר, מחירים נוחים ויש הכל"""
"2.4 ק""מ",רמי לוי בשכונה,רשת מכולות,"אסתר המלכה 4, תל אביב יפו",234 ביקורות247 ביקרו פה החודש,,
"3.5 ק""מ",א.א. מינימרקט,סופרמרקטים ומכולות,"תובל 18, רמת גן",111 ביקורות,"
סגור
      ",""" הרגשה לבבית וחמה שירות מצויין ומוצרים טריים"""
"4 ק""מ",סופר באבא,רשת מכולות,"ירמיהו 56, תל אביב יפו",121 ביקורות160 ביקרו פה החודש,,"""שירות מצויין מחירים טובים משלוחים ללא תשלום יחס מצויין ללקוחות הרגשה כמו בבית"""
"3.5 ק""מ",סופר יוסי אנד גבי,סופרמרקטים ומכולות,"המצודה 24, חולון",131 ביקורות142 ביקרו פה החודש,,
"2.5 ק""מ",סופר השדרה,סופרמרקטים ומכולות,"שדרות ירושלים 19, תל אביב יפו",101 ביקורות72 ביקרו פה החודש,,
"2.7 ק""מ",סופר זול,סופרמרקטים ומכולות,"ארלוזורוב 147, תל אביב יפו",172 ביקורות122 ביקרו פה החודש,,
"4.2 ק""מ",Yellow Market,רשת מכולות • ₪₪₪,"דרך נמיר 136, תל אביב יפו",572 ביקורות178 ביקרו פה החודש,,
