distance,name,class,address,rates,isOpen,reviews
"4.3 ק""מ",רכבים מוזלים,,"שדרות רוקח 9, תל אביב יפו",,,
"5.7 ק""מ",קונה רכבים,סוכנות מכירת רכב,"כפר יונה, תל אביב יפו",,,
"8.4 ק""מ",מנעולן רכבים,מנעולן רכב,"היצירה, אור יהודה",1 ביקורות,,
"16 ק""מ",אלכס רכבים,מכירת מכוניות,"בר אילן 1, לוד",,"
סגור
      ",
"1.5 ק""מ",מקסים קונה רכבים,קניית רכבים לפירוק,"ד""ר אברהם אליהו הרכבי 54, תל אביב יפו",,,
"34 ק""מ",שטיפת רכבים,רחיצת רכב,"דרך הרכבת 1, אשדוד",חדש באיזי,,
"3.4 ק""מ",עוזר רכבים לפירוק,קניית רכבים לפירוק,"ירושלים 28, אזור",23 ביקורות,,
"3.6 ק""מ",טל מנעולן רכבים,מנעולן רכב,"בני משה 8, תל אביב יפו",8 ביקורות,,"""מנעולן הגון, אמין ומקצועי"""
"3.8 ק""מ",קניית רכבים לפירוק,מגרש רכב,"שדרות ירושלים 158, תל אביב יפו",,"
סגור
      ",
"6 ק""מ",פנדה שטיפת רכבים,רחיצת רכב,"הרוקמים 26, חולון",124 ביקורות120 ביקרו פה החודש,"
סגור
      ",
"6.4 ק""מ",קונה רכבים לפירוק,קניית רכבים לפירוק,"עגנון 17, בת ים",45 ביקורות,,
"7.5 ק""מ",פאר השכרת רכבים,השכרת מכוניות,אור יהודה,1 ביקורות,"
סגור
      ",
"8.1 ק""מ",אליעזר רכבים לפירוק,קניית רכבים לפירוק,"הכרמל 36, בית דגן",20 ביקורות,,
"8.3 ק""מ",פורץ רכבים אקספרס,פריצת רכבים,"אופירה 1, אור יהודה",,,
"50 ק""מ",שמש רכבים,מכירת מכוניות,"ירמיהו 40, ירושלים",49 ביקורות77 ביקרו פה החודש,"
סגור
      ",
"50 ק""מ",לוינסון רכבים,מכירת מכוניות,"ירמיהו 1, ירושלים",1 ביקורות,"
סגור
      ",
"52 ק""מ",שטיפת רכבים,רחיצת רכב,"אלרוב שדרות ממילא, ירושלים",3 ביקורות76 ביקרו פה החודש,"
סגור
      ",
"74 ק""מ",ישיר רכבים,חלקי חילוף לרכב,"אזור תעשייה, רהט",,"
סגור
      ",
"77 ק""מ",דורון רכבים,,עפולה,4 ביקורות,,
"87 ק""מ",רכבים בתנועה,מוסך,"האיטלקים 3, חיפה",,"
סגור
      ",
"91 ק""מ",7 רכבים,,"יצחק רגר 11, באר שבע (מגדל שבע)",,,
"11 ק""מ",קונה רכבים לפירוק,קניית רכבים לפירוק,"ירושלים 46, ראשון לציון",,,
"12 ק""מ",שי רכבים לפרוק,מגרש רכב,הרצליה,,"
סגור
      ",
"14 ק""מ",גילי פירוק רכבים,חלקי חילוף לרכב,"יצחק שדה 55, הרצליה",,"
סגור
      ",
"17 ק""מ",טל קונה רכבים,מגרש רכב,"מור 4, רמלה",,"
סגור
      ",
