distance,name,class,address,reviews,rates,isOpen
"5.3 ק""מ",מוסך דרור,מוסך • מוסך אוטובוסים,"המלאכה 53, חולון","""שירות מעולה , אמינות מקצוענות ומחירים מוצדקים """,66 ביקורות141 ביקרו פה החודש,"
סגור
      "
"6.1 ק""מ",קרמן אלי כיווני פרונט,מוסך • מוסך אוטובוסים,"הירקון 69, בני ברק",""" הגעתי והבחור הנחמד שם מיד התחיל לעבוד באופן מקצועי ותקתק את זה""",138 ביקורות51 ביקרו פה החודש,"
סגור
      "
"6.3 ק""מ",א. עמוס מזגנים לרכב,מוסך • מוסך אוטובוסים,"הקישון 33, בני ברק",""" צוות נהדר פקידות נחמדות ושירות מקצועי""",332 ביקורות98 ביקרו פה החודש,"
סגור
      "
"7.4 ק""מ",מוסך נתן את אברהם,מוסך • מוסך אוטובוסים,"עמל 27, פתח תקווה",""" אורי מנהל המוסך אדיב רציני ומקצועי""",75 ביקורות,"
סגור
      "
"7.5 ק""מ",ניצנים,מוסך • מוסך אוטובוסים,"גונן 7, פתח תקווה",,74 ביקורות62 ביקרו פה החודש,"
סגור
      "
"8.2 ק""מ",מאיר מרכזי שירות,מוסך • מוסך אוטובוסים,"השר חיים משה שפירא 25, ראשון לציון",""" ישבתי בכיףףףף בפינת הקפה, טיפלו לי ברכב בצורה טובה ומתוקה 😍""",678 ביקורות174 ביקרו פה החודש,"
סגור
      "
"3 ק""מ",צמיגי יהלום,תיקון צמיגים • מוסך אוטובוסים,"דרך זאב ז'בוטינסקי 4, רמת גן","""באתי, התקבלתי בשמחה, טיפלו בי במהירות ובענייניות, ואף הסבירו לי על כל הבעיה""",69 ביקורות196 ביקרו פה החודש,"
סגור
      "
"8.3 ק""מ",ד.ש. חלקי חשמל מחודשים,מוסך • מוסך אוטובוסים,"השפלה 4, פתח תקווה",,19 ביקורות,"
סגור
      "
"5.8 ק""מ",חברה ישראלית למנועים וטריילרים,מוסך • מוסך אוטובוסים,"החופר 28, חולון",,10 ביקורות,"
סגור
      "
"2.8 ק""מ",פנצ'ריית האור,תיקון צמיגים • מוסך אוטובוסים,"פז, גבעתיים","""שירות מעולה, הגעתי למקום במקרה""",139 ביקורות171 ביקרו פה החודש,"
סגור
      "
"7.9 ק""מ","דיזל ראשל""צ",מוסך • מוסך אוטובוסים,"משה שרת 8, ראשון לציון",,17 ביקורות,"
סגור
      "
"4.7 ק""מ",קבוצת שגריר שירותי רכב,מוסך • מוסך אוטובוסים,"הנפח 8, חולון",,967 ביקורות151 ביקרו פה החודש,
"9.5 ק""מ",ע.נ.מרכז שירות ראשון שרותי רכב,מוסך • מוסך אוטובוסים,"בנימין שמוטקין 23, ראשון לציון",,71 ביקורות,"
סגור
      "
"4 ק""מ","שח""מ מקורות ביצוע",מוסך • מוסך אוטובוסים,"הפלד 1, חולון",,,"
סגור
      "
"4.3 ק""מ",מוסך עולם הפחחות והצבע,מוסך • מוסך אוטובוסים,"פליקס זנדמן 12, חולון",,7 ביקורות,"
סגור
      "
"10 ק""מ",מוסך אלברט,מוסך • מוסך אוטובוסים,"בר כוכבא 53, פתח תקווה","""ממליץ בחום השירות המחיר והמקצועיות מצוינים ובכלל האווירה ממש נחמדה""",8 ביקורות,"
סגור
      "
"8.6 ק""מ",חנן ושפיק,מוסך • מוסך אוטובוסים,"חטיבת אלכסנדרוני 3, אור יהודה",""" תודה לך בחור מקסים 💕""",14 ביקורות66 ביקרו פה החודש,"
סגור
      "
"3.8 ק""מ","מוסך עירית ר""ג",מוסך • מוסך אוטובוסים,"ביאליק 35, רמת גן",,,"
סגור
      "
"3.9 ק""מ",דן חברה לתחבורה ציבורית,מוסך • מוסך אוטובוסים,"תמנע 2, חולון",,,"
סגור
      "
"8.9 ק""מ",פנצ'רית הגל,תיקון צמיגים • מוסך אוטובוסים,"דרך המכבים 54, ראשון לציון",""" אנשים מהממים, טובים, אדיבים, סובלניים""",420 ביקורות154 ביקרו פה החודש,"
סגור
      "
"7.5 ק""מ",טייר סנטר,רשת תיקון צמיגים • מוסך אוטובוסים,"השילוח 7, פתח תקווה","""החלפתי סט צמיגי מישלין לאופנוע במחיר מעולה ובשירות מדהים של מוסא התותח""",497 ביקורות295 ביקרו פה החודש,"
סגור
      "
"8.1 ק""מ",פרונט אקס,מוסך • מוסך אוטובוסים,"יוסף ספיר 5, ראשון לציון",,4 ביקורות,"
סגור
      "
"8.7 ק""מ",כלמוביל,מוסך • מוסך אוטובוסים,"אבשלום גיסין 72, פתח תקווה",,836 ביקורות165 ביקרו פה החודש,"
סגור
      "
"7.9 ק""מ",צמיגי טיפ טופ סנטר,מכירת צמיגים • מוסך אוטובוסים,"משה שרת 6, ראשון לציון","""היה אחלה, שירות מעולה ויחס טוב""",106 ביקורות754 ביקרו פה החודש,"
סגור
      "
"8.9 ק""מ",מרכז שירות כלמוביל ראשון לציון,מוסך • מוסך אוטובוסים,"יצחק בן צבי 19, ראשון לציון",,4 ביקורות85 ביקרו פה החודש,"
סגור
      "
