distance,name,class,address,rates,isOpen,reviews
"2 ק""מ",מכללת אורין שפלטר,מכללה,"יגאל אלון 123, תל אביב יפו",144 ביקורות117 ביקרו פה החודש,"
סגור
      ",
878 מ',מכללת bpm,מכללה,"בן אביגדור 3, תל אביב יפו",431 ביקורות,,"""מקום מקצועי, נעים , משפחתי ובעיקר קרש מקפצה בקריירה"""
"3.4 ק""מ",מכללת ורצברגר,מכללה,"דרך זאב ז'בוטינסקי 28, רמת גן",56 ביקורות53 ביקרו פה החודש,"
סגור
      ","""יש מבחר גדול ואיכותי ושירות מצוין"""
"4.6 ק""מ",מכללת סמינר הקיבוצים,מכללה,"דרך נמיר 149, תל אביב יפו",11 ביקורות,"
סגור
      ",
"2.8 ק""מ",מכללת מישלב,מכללה,"וייצמן 53, תל אביב יפו",8 ביקורות,"
סגור
      ","""מכללה עם הרבה ניסיון ומרצים מצוינים"""
"2.4 ק""מ",פראנה יוגה קולג',מכללה לרפואה משלימה,"חובבי ציון 52, תל אביב יפו",223 ביקורות,"
סגור
      ",
876 מ',סלע סקול Sela School,מכללה,"בן אביגדור 8, תל אביב יפו",82 ביקורות,"
סגור
      ",
"2 ק""מ",מכללת תוצאות,מכללה,"יגאל אלון 123, תל אביב יפו",241 ביקורות,"
סגור
      ",
"3.8 ק""מ",שנקר,מכללה,"אנה פרנק 12, רמת גן",135 ביקורות62 ביקרו פה החודש,"
סגור
      ",
"1.2 ק""מ",המכללה לאנימציה,מכללה,"הארבעה 4, תל אביב יפו",33 ביקורות,,
"3.1 ק""מ",ICCM,מכללה,"שוהם 5, רמת גן",84 ביקורות,"
סגור
      ",
"2 ק""מ",מכללת תילתן,מכללה,"יגאל אלון 123, תל אביב יפו",28 ביקורות,"
סגור
      ",
"5.7 ק""מ",מכללת סלע,מכללה,"ברוך הירש 14, בני ברק",189 ביקורות,"
סגור
      ",""" לימודים ברמה טובה מאוד"""
"2.9 ק""מ",מנטור,מכללה,"דרך זאב ז'בוטינסקי 1, רמת גן (בורסת היהלומים)",44 ביקורות,"
סגור
      ",
246 מ',המכללה לניו מדיה,מכללה,"המסגר 18, תל אביב יפו",46 ביקורות52 ביקרו פה החודש,"
סגור
      ",
"1.6 ק""מ",מכללת עדיף,מכללה,"דרך משה דיין 52, תל אביב יפו",13 ביקורות,"
סגור
      ",
972 מ',מרכז ההכשרות וההשמות,מכללה,"דרך חיל השריון 84, תל אביב יפו",24 ביקורות,"
סגור
      ",
"3.5 ק""מ",מכללת IITC,מכללה,"החילזון 3, רמת גן",27 ביקורות,"
סגור
      ",
"3.4 ק""מ",אומנית,מכללה,"שדרות ירושלים 153, תל אביב יפו",11 ביקורות,"
סגור
      ",
"4.7 ק""מ",מכללת קגן,מכללה,"דרך זאב ז'בוטינסקי 135 א, רמת גן",18 ביקורות,"
סגור
      ",
"1.1 ק""מ",ITSafe המכללה ללימודי סייבר אונליין,מכללה,"שדרות רוטשילד 45, תל אביב יפו",78 ביקורות,"
סגור
      ",
"2 ק""מ",מכללת ללדת,מכללה,"מנורת המאור 2, תל אביב יפו",40 ביקורות,"
סגור
      ",
"1.1 ק""מ",המכללה העסקית של לשכת המסחר,מכללה,"החשמונאים 84, תל אביב יפו (בית לשכת המסחר)",27 ביקורות,"
סגור
      ",
"1.3 ק""מ",ACC תרצה גרנות,מכללה,"שדרות יהודית 35, תל אביב יפו (בית ד.נ.ר)",51 ביקורות,"
סגור
      ",
966 מ',המכללה Her Academy,מכללה,"סעדיה גאון 26, תל אביב יפו",36 ביקורות,"
סגור
      ",
